,CO(GT),T
0,1.2,11.3
1,1.0,10.7
2,0.9,10.7
3,0.6,10.3
5,0.7,11.0
6,0.7,10.5
7,1.1,10.2
8,2.0,10.8
9,2.2,10.5
10,1.7,10.8
11,1.5,10.5
12,1.6,9.5
13,1.9,8.3
14,2.9,8.0
15,2.2,8.3
16,2.2,9.7
17,2.9,9.8
18,4.8,10.3
19,6.9,9.7
20,6.1,9.6
21,3.9,9.1
22,1.5,8.2
23,1.0,8.2
24,1.7,8.3
25,1.9,7.7
26,1.4,7.1
27,0.8,7.0
29,0.6,6.3
30,0.8,6.8
31,1.4,6.4
32,4.4,7.3
34,3.1,13.2
35,2.7,14.3
36,2.1,15.0
37,2.5,16.1
38,2.7,16.3
39,2.9,15.8
40,2.8,15.9
41,2.4,16.9
42,3.9,15.1
43,3.7,14.4
44,6.6,12.9
45,4.4,12.1
46,3.5,11.0
47,5.4,9.7
48,2.7,9.5
49,1.9,9.1
50,1.6,8.8
51,1.7,7.8
53,1.0,8.3
54,1.2,7.2
55,1.5,6.3
56,2.7,6.5
57,3.7,9.6
58,3.2,12.4
59,4.1,15.6
60,3.6,18.4
61,2.8,19.4
62,2.0,18.0
63,2.0,18.4
64,2.5,17.6
65,2.3,16.7
66,3.2,16.1
67,4.2,15.8
68,4.2,15.7
69,4.2,15.3
70,3.1,14.6
71,2.6,14.7
72,2.9,13.9
73,2.8,14.6
74,2.5,12.5
75,2.4,11.6
77,1.2,11.5
78,1.0,11.6
79,0.9,10.4
80,1.4,11.6
81,1.6,12.4
82,2.2,14.5
83,2.8,16.9
84,2.8,19.3
85,2.0,21.2
86,1.8,21.4
87,1.9,21.9
88,3.0,22.2
89,2.9,21.3
90,2.5,19.7
91,4.6,18.4
92,5.9,17.6
93,3.4,16.7
94,2.1,16.3
95,2.2,14.7
96,1.8,14.8
97,1.8,14.0
98,1.8,13.4
99,1.1,12.6
101,1.0,11.9
102,1.4,11.4
103,2.2,11.3
104,5.5,12.4
105,8.1,14.8
106,5.8,17.4
107,4.2,19.8
108,3.1,22.0
109,2.9,23.3
110,2.9,23.9
111,2.5,24.4
112,2.3,24.4
113,2.8,23.8
114,6.1,22.5
115,8.0,20.4
116,6.5,18.3
117,4.2,16.7
118,3.2,15.7
119,1.4,15.3
120,2.1,14.1
121,1.2,14.8
122,0.8,14.8
123,0.7,13.6
125,0.6,12.8
126,0.9,11.2
127,1.3,11.0
128,3.4,11.7
129,3.7,13.6
130,5.3,17.8
131,4.1,21.4
132,3.3,24.4
133,4.0,25.3
134,3.8,25.8
135,2.8,27.0
136,2.9,28.2
137,2.9,28.0
138,3.4,23.9
139,3.9,21.3
140,3.2,20.4
141,5.1,19.0
142,2.6,17.9
143,1.7,16.7
144,1.7,15.5
145,1.2,15.5
146,0.9,14.1
147,0.7,13.1
149,0.5,11.8
150,0.5,11.9
151,1.6,9.9
152,4.1,11.1
153,6.6,14.1
154,4.3,17.7
155,2.9,21.1
156,2.5,24.3
157,2.8,25.6
158,2.6,25.9
159,2.0,26.8
160,2.9,29.3
161,2.5,28.5
162,5.0,25.9
163,7.6,23.1
164,6.7,20.5
165,5.7,19.1
166,2.8,17.2
167,2.6,16.0
